wave,lumi
344.36,-122.55
344.579,-122.55
344.799,-122.55
345.018,-143.83
345.237,-176.73
345.456,-23.86
345.676,43.86
345.895,57.4
346.114,36.12
346.334,-31.6
346.553,3.22
346.772,39.99
346.991,-25.8
347.21,-64.5
347.43,72.88
347.649,-52.89
347.868,-54.82
348.087,-49.02
348.306,-60.63
348.525,67.08
348.744,-81.91
348.963,-89.65
349.182,39.99
349.401,76.75
349.62,9.03
349.839,24.51
350.058,9.03
350.277,3.22
350.496,119.32
350.715,-54.82
350.934,22.57
351.153,-70.3
351.372,-72.24
351.591,55.47
351.81,53.53
352.029,-66.43
352.247,-16.12
352.466,70.95
352.685,-0.64
352.904,-50.95
353.123,43.86
353.341,-78.04
353.56,-43.21
353.779,-54.82
353.998,39.99
354.216,109.65
354.435,-31.6
354.654,59.34
354.872,-35.47
355.091,-8.38
355.31,-109
355.528,-4.51
355.747,-45.15
355.965,-21.93
356.184,38.05
356.402,-35.47
356.621,51.6
356.839,-12.25
357.058,72.88
357.276,3.22
357.495,-29.67
357.713,-130.29
357.932,-45.15
358.15,28.38
358.369,-87.72
358.587,-23.86
358.805,65.14
359.024,-23.86
359.242,-49.02
359.46,9.03
359.679,-31.6
359.897,-87.72
360.115,45.79
360.334,43.86
360.552,10.96
360.77,34.18
360.988,1.29
361.207,-8.38
361.425,-29.67
361.643,-37.41
361.861,12.9
362.079,-4.51
362.297,53.53
362.516,-39.34
362.734,-23.86
362.952,-37.41
363.17,32.25
363.388,-4.51
363.606,18.7
363.824,53.53
364.042,14.83
364.26,-78.04
364.478,-49.02
364.696,5.16
364.914,34.18
365.132,-39.34
365.35,-27.73
365.568,-45.15
365.786,32.25
366.003,39.99
366.221,-39.34
366.439,20.64
366.657,38.05
366.875,-109
367.093,-97.39
367.31,-31.6
367.528,-14.19
367.746,10.96
367.964,18.7
368.181,-45.15
368.399,-31.6
368.617,-19.99
368.834,9.03
369.052,-52.89
369.27,7.09
369.487,-16.12
369.705,-45.15
369.923,-0.64
370.14,-4.51
